Date,new_confirmed,confirmed_count,dead_count,cure_count,new_contact,observe_count,Hubei_new_confirmed,Hubei_confirmed_count,Hubei_dead_count,Hubei_cure_count,Hubei_new_contact,Hubei_observe_count
1/20,77,291,6,0,0,922,72,270,6,25,0,331
1/21,149,440,9,0,458,1394,105,375,9,28,111,426
1/22,131,571,17,0,3700,4928,69,444,17,28,1375,1693
1/23,259,830,25,34,3610,8420,105,549,24,31,1097,2776
1/24,457,1287,41,38,5690,13967,180,729,39,32,2029,4711
1/25,688,1975,56,49,8234,21556,323,1052,52,42,2307,6904
1/26,769,2744,80,51,9368,30453,371,1423,76,44,2405,9103
1/27,1771,4515,106,60,15034,44132,1291,2714,100,47,6510,15559
1/28,1459,5974,132,103,17704,59990,840,3554,125,80,5191,20366
1/29,1737,7711,170,124,23156,81947,1032,4586,162,90,6685,26632
1/30,1982,9692,213,171,24886,102427,1220,5806,204,116,6364,32340
1/31,2102,11791,259,243,23408,118478,1347,7153,249,166,5931,36838
2/1,2590,14380,304,328,26857,137594,1921,9074,294,215,7496,43121
2/2,2829,17205,361,475,25739,152700,2103,11177,350,295,7517,48171
2/3,3235,20438,425,632,31432,171329,2345,13522,414,396,12900,58544
2/4,3887,24324,490,892,31139,185555,3156,16678,479,520,12051,66764
2/5,3694,28018,563,1153,30659,186354,2987,19665,549,633,9958,64127
2/6,3143,31161,636,1540,31215,186045,2447,22112,618,817,10602,64057
2/7,3399,34546,722,2050,31470,189660,2841,24953,699,1115,12445,67802
2/8,2656,37198,811,2649,26407,188183,2147,27100,780,1439,9783,70438
2/9,3062,40171,908,3281,27582,187518,2618,29631,871,1795,8728,73127
2/10,2478,42638,1016,3996,28951,187728,2097,31728,974,2222,11724,76207
2/11,2015,44653,1113,4740,23024,185037,1638,33366,1068,2639,7972,77195
2/12,1820,46472,1232,5488,20069,181386,1508,34874,1175,3018,6126,77308
2/13,1995,48467,1380,6723,21536,177984,1728,36602,1318,3862,8441,77685
2/14,1503,49970,1454,7465,20116,169039,1282,37884,1388,4143,9330,77323
2/15,1121,51090,1665,9419,16235,158764,955,38839,1596,5623,7035,74261
2/16,2048,70548,1770,10844,16598,150539,1933,58182,1696,6639,8251,71613
2/17,1886,72436,1868,12552,14885,141552,1807,59989,1789,7862,7888,69270
2/18,1749,74185,2004,14376,13517,135881,1693,61682,1921,9128,6765,68345
2/19,394,74576,2118,16155,14745,126363,349,62031,2029,10337,8006,65525
2/20,889,75465,2236,18264,16874,120302,411,62442,2144,11788,11603,63126
2/21,397,76288,2345,20659,12878,113564,366,63454,2250,13557,8521,62787
2/22,648,76936,2442,22888,9602,106089,630,64084,2346,15299,6720,61181
2/23,409,77150,2592,24734,7014,97481,398,64287,2495,16738,5844,58575
2/24,508,77658,2663,27323,6211,87902,499,64786,2563,18854,4484,53474
2/25,406,78064,2715,29745,5664,79108,401,65187,2615,20912,4485,49438
2/26,433,78497,2744,32495,4768,71572,409,65596,2641,23200,3741,46326
2/27,327,78824,2788,36117,3880,65225,318,65914,2682,26403,2704,43122
2/28,427,79251,2835,39002,2533,58233,423,66337,2727,28895,1721,39303
2/29,573,79824,2870,41625,2129,51856,570,66907,2761,31187,1701,35766
3/1,202,80026,2912,44462,2524,46219,196,67103,2803,33757,1968,32143
3/2,125,80151,2943,47204,1659,40651,114,67217,2834,36167,961,28400
3/3,119,80270,2981,49856,1498,36432,115,67332,2871,38556,833,25290
3/4,139,80409,3012,52045,2628,32870,134,67466,2902,40479,1214,22801
3/5,143,80552,3042,53726,1829,29896,126,67592,2931,41966,1366,21063
3/6,99,80651,3070,55404,1604,26730,74,67666,2959,43468,878,18296
3/7,44,80695,3097,57065,1580,23074,41,67707,2986,45011,380,15587
3/8,40,80735,3119,58600,722,20146,36,67743,3007,46433,400,13211
3/9,19,80754,3136,59897,578,16982,17,67760,3024,47585,304,10832
3/10,24,80778,3158,61475,548,14607,13,67773,3046,49056,188,9066
3/11,15,80793,3169,62793,1357,13701,8,67781,3056,50298,681,7964
