ID,字段1,字段2,discount,price,privilege.for.new,privilege.on.sale,district,if.nonworkdays.available,time.duration,if.appointment.needed,WiFi.available,parking,rooms.available,评分,评论数,online.intervel,quarterly.sales.volume,level.of.participants.limited,level.of.tickets.limited,place,food,taste,cook,people,style,HighFreq
1,巴蜀大魏道火锅(高新路店),仅售308元，价值372元6人餐！免费WiFi节假日通用，可使用包间！,0.827956989,308,钱包新客最高再减20元,无立减优惠,高新区,周末法定节假日通用,24,无需预约,免费WiFi,无停车位,均可使用,5,4,216,5.416666667,不限人数,不限张数,是,否,否,否,否,川系,2
10,宽窄巷子火锅,仅售79.9元，价值100元代金券！可使用包间，免费停车，免费WiFi！,0.799,79.9,钱包新客最高再减20元,无立减优惠,高新区,周末法定节假日通用,12,无需预约,免费WiFi,免费停车位,均可使用,4.5,1650,786,1874.198473,不限人数,不限张数,否,否,否,否,否,川系,1
100,重庆鼻祖老火锅,仅售90元，价值100元代金券！可叠加使用，免费WiFi，可使用包间，免费WiFi！,0.9,90,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,11,无需预约,免费WiFi,未提及,均可使用,4.5,151,435,466.7586207,不限人数,不限张数,是,否,否,否,否,川系,3
1000,六婆串串香火锅(凤城一路店),仅售1元，价值12元凤城一路店大签30个！节假日通用，提供免费WiFi，免费WiFi！,0.083333333,1,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,10,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,281,2.241992883,不限人数,不限张数,否,否,是,否,是,川系,4
1001,辣尚仙焖锅,仅售68元，最高价值128元咸宁中路店双人菌类套餐！?,0.53125,68,钱包新客最高再减20元,无立减优惠,新城区,非周末法定节假日通用,11,无需预约,未提及,未提及,仅限大厅使用,4.6,13,433,6.443418014,限2-4人,不限张数,否,否,是,是,否,川系,4
1002,萤火虫新概念火锅,仅售50元，价值100元代金券！选新鲜优质食材，优选原料，健康用油，营养美味，香飘四溢，余香不绝，屡食不厌，久久回味！店内提供免费WiFi！,0.5,50,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,2.5,无需预约,未提及,未提及,未提及,0,0,777,0.115830116,不限人数,不限张数,否,否,否,否,否,其他,1
1003,冯记猪肚鸡养生火锅,仅售85元，价值100元代金券！免费停车，免费WiFi！,0.85,85,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11,无需预约,免费WiFi,免费停车位,仅限大厅使用,5,4,127,9.212598425,不限人数,限制张数,否,是,否,否,否,粤系,3
1004,张二毛火锅,仅售8.8元，价值30元丸子套餐！节假日通用，提供免费停车场、免费WiFi，可使用包间，免费停车，免费WiFi！,0.293333333,8.8,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,4.4,9,421,8.123515439,不限人数,不限张数,否,否,否,否,否,其他,1
1005,康二姐串串香火锅(潘村店),仅售49.9元，价值62元潘村店双人餐！节假日通用，提供免费WiFi、停车位，免费停车，免费WiFi！,0.80483871,49.9,钱包新客最高再减20元,无立减优惠,灞桥区,周末法定节假日通用,12,无需预约,免费WiFi,免费停车位,仅限大厅使用,0,0,393,3.893129771,限2-4人,不限张数,否,否,是,否,否,川系,3
1006,万家欢鱼火锅(曲江店),仅售79.9元，价值100元代金券！,0.799,79.9,钱包新客最高再减20元,无立减优惠,雁塔区,周末法定节假日通用,7,无需预约,未提及,未提及,仅限大厅使用,5,7,119,21.17647059,不限人数,限制张数,否,是,否,否,否,其他,2
1007,森林雨火锅(科技路分店),仅售258元，价值325元科技路店4-6人生日特惠套餐！提供免费WiFi！只限生日当天使用，免费WiFi！,0.793846154,258,钱包新客最高再减20元,无立减优惠,雁塔区,周末法定节假日通用,13,无需预约,免费WiFi,无停车位,仅限大厅使用,5,4,393,12.36641221,限5-12人,不限张数,否,否,否,否,否,其他,1
1008,我要牛市鲜牛火锅,仅售158元，价值244元2至3人午市套餐！免费WiFi！,0.647540984,158,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,3.5,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,49,1.836734694,限2-4人,不限张数,否,是,是,否,否,其他,1
1009,成都花串串,仅售79元，价值100元代金券！节假日通用，可叠加使用！,0.79,79,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,12,无需预约,未提及,未提及,仅限大厅使用,4.6,98,502,118.1474104,不限人数,不限张数,否,否,否,否,否,川系,1
101,重庆渝江锂火锅,仅售79元，价值100元代金券！提供免费WiFi！可叠加使用，全场通用，可使用包间，免费停车，免费WiFi！,0.79,79,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,15.5,无需预约,免费WiFi,免费停车位,均可使用,4.3,140,604,250.9271523,不限人数,不限张数,是,否,否,否,否,川系,2
1010,长盛楼火锅,仅售268元，最高价值454元8人餐！节假日通用，提供免费WiFi，免费WiFi！,0.59030837,268,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,14,无需预约,免费WiFi,无停车位,仅限大厅使用,5,1,630,0.142857143,不限人数,不限张数,否,否,否,否,否,其他,1
1011,荷塘食韵特色火锅(凤城五路店),仅售288元，价值356元凤城五路店8人餐！味道鲜美，口感优质，店家服务周到细致，就餐环境舒适，交通便利！,0.808988764,288,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,10.5,无需预约,免费WiFi,未提及,仅限大厅使用,5,1,920,2.054347826,不限人数,不限张数,否,否,否,否,否,其他,2
1013,蜀味轩小火锅,仅售45元，价值50元代金券！节假日通用，提供免费WiFi，可叠加使用，免费WiFi！,0.9,45,钱包新客最高再减20元,无立减优惠,灞桥区,周末法定节假日通用,10,无需预约,免费WiFi,无停车位,仅限大厅使用,4.7,16,610,11.06557377,不限人数,不限张数,是,否,否,否,否,川系,3
1014,莱珍轩时尚臻牛(西安总店),仅售98元，价值159元双人餐！免费WiFi，免费停车！,0.616352201,98,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,11,无需预约,免费WiFi,免费停车位,仅限大厅使用,0,0,76,8.289473684,不限人数,不限张数,否,是,否,否,否,其他,1
1016,蜀江老号火锅,仅售78元，价值100元代金券！免费WiFi！,0.78,78,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,4.5,无需预约,免费WiFi,未提及,仅限大厅使用,4.2,42,273,204.0659341,不限人数,不限张数,是,否,否,否,否,川系,2
1017,月满大江,仅售248元，最高价值372元8人餐！免费WiFi！,0.666666667,248,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,3.7,3,130,14.53846154,不限人数,限制张数,否,否,否,否,否,其他,1
1019,独一坊烤羊蝎子,仅售198元，价值249元6人套餐！独具风味，肉质鲜美细嫩，美味舌尖流转，优质食材，精心制作，传统工艺，营养美味，免费停车，免费WiFi！,0.795180723,198,钱包新客最高再减20元,无立减优惠,阎良区,周末法定节假日通用,10,无需预约,免费WiFi,免费停车位,仅限大厅使用,4.7,60,823,20.34021871,限5-12人,不限张数,否,是,否,是,否,北系,0
102,院子私房老火锅,仅售68元，价值100元代金券！可叠加使用，节假日通用，免费无线WiFi，免费WiFi！,0.68,68,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11,无需预约,免费WiFi,无停车位,仅限大厅使用,3,1,449,8.619153675,不限人数,不限张数,否,否,否,否,否,其他,3
1020,全鱼道金牌私房鱼(高新店),仅售115元，价值187元高新店6人套餐！节假日通用，提供免费WiFi，免费WiFi！,0.614973262,115,钱包新客最高再减20元,无立减优惠,雁塔区,周末法定节假日通用,12,无需预约,免费WiFi,无停车位,仅限大厅使用,4.5,2,618,1.747572816,限5-12人,不限张数,否,是,否,否,否,其他,2
1021,膳豪鱼府,仅售169元，价值253元4人餐！免费WiFi！,0.66798419,169,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,5,5,130,20.07692308,限2-4人,不限张数,否,是,否,是,否,其他,1
1022,成都锦里串串,仅售99元，价值135元4人餐！节假日通用，可使用包间！,0.733333333,99,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,12,无需预约,未提及,未提及,均可使用,4.8,5,463,4.470842333,限2-4人,不限张数,否,否,否,否,是,川系,1
1024,七婆串串香(辛家庙店),仅售175元，价值198元辛家庙店6-8人餐！节假日通用，提供免费WiFi，免费WiFi！,0.883838384,175,钱包新客最高再减20元,无立减优惠,未央区,非周末法定节假日通用,11,无需预约,免费WiFi,未提及,仅限大厅使用,3,1,490,5.326530612,不限人数,不限张数,否,否,是,否,是,川系,2
1025,重庆鸡公煲(师大路店),仅售49.9元，价值60元师大路店精美双人餐！提供免费WiFi，免费WiFi！,0.831666667,49.9,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,11,无需预约,免费WiFi,收费停车位,仅限大厅使用,4.6,76,484,90,限2-4人,不限张数,是,是,否,是,否,川系,4
1026,7石咕噜鱼(洪庆店),仅售99元，最高价值144元洪庆店2-3人餐！节假日通用，提供免费WiFi，免费WiFi！,0.6875,99,钱包新客最高再减20元,无立减优惠,灞桥区,周末法定节假日通用,10,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,420,3.857142857,限2-4人,限制张数,否,是,否,否,否,其他,1
1027,重庆巴之缘火锅,仅售88元，价值100元代金券！可使用包间！,0.88,88,无钱包新客优惠,无立减优惠,长安区,周末法定节假日通用,12,无需预约,未提及,未提及,均可使用,4.6,37,417,110.2877698,不限人数,限制张数,是,否,否,否,否,川系,2
1028,京味涮火锅,仅售288元，价值569元10人餐！免费WiFi！,0.506151142,288,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11,无需预约,免费WiFi,无停车位,均可使用,0,0,44,4.090909091,不限人数,不限张数,是,否,是,是,否,北系,3
1029,一尊皇牛(阎良店),仅售78元，价值99元双人餐！免费停车，免费WiFi！,0.787878788,78,钱包新客最高再减20元,无立减优惠,阎良区,周末法定节假日通用,11,无需预约,免费WiFi,免费停车位,仅限大厅使用,3.8,16,115,161.2173913,不限人数,不限张数,否,是,否,否,否,其他,0
