creded,debitF,meanpay,billnum,debitM,zhongxingM,sidaM,xindaiR,cardnum,xindaiF,maxpay,zhuanzhangF,gongjiaoF,zhuanzhangR,age,gongjiaoR,sidaF,sidaR,zhongxingF,zhongxingR,xiaofeiF,jinkaF,zhuanzhangM,gongjiaoM,youxiM,xindaiS,black
0.02,28,474795,4,784137.54,56826,307042,365,2,6,1665922.93,69,0,359.61,26,349.43,7,7.83,4,334.38,6,9,508646.02,297.83,66.02,5760.22,1
0.16,2,346573,32,1217.43,43644,15096,311.73,9,0,9781.23,2,2,95.68,29,365,4,91.77,14,365,1,11,425876.24,3521.03,22.75,83872.62,1
0.32,56,168844,191,95001.76,279217,69815,42.32,8,0,4448852.49,33,1,230.09,30,365,64,36.05,10,27.08,1,2,492287.84,467.64,6.66,31110.55,1
0.01,28,69002,89,487782.48,273731,329437,81.6,15,1,8876.84,7,0,267.48,30,330.19,2,10.08,8,191.04,1,8,240067.26,288.67,119.98,7876.13,1
0.19,6,408647,104,22039.56,13529,24725,254.6,17,9,1975116.83,1,2,156.96,29,324.66,11,324.21,23,248.39,7,0,455464.47,11834.25,28.97,13765.38,0
0.2,65,285313,3,194798.7,11285,17961,50.31,5,0,2278266.73,17,1,144.48,24,365,6,237.08,0,361.47,4,0,192392.72,527.81,27.45,161711.43,0
0.02,39,95582,47,683038.8,493431,101076,193.43,4,4,2033712.91,25,1,299.14,33,365,0,277.95,25,254.59,4,0,370075.36,32316.57,539.21,108730.17,1
0.05,3,291786,65,2752.78,332524,135872,182.72,1,2,1232642.07,0,1,203.96,27,314.31,20,97.87,20,198.89,2,4,50414.81,11126.52,37.76,148837.36,0
0.01,54,121819,82,173684.82,34654,23808,61.76,2,4,2649640.27,38,0,76.33,27,365,27,290.85,0,160.41,3,1,911546.39,1564.29,613.75,3313.78,1
0.01,65,10925,2,628214.7,9164,802955,262.19,1,0,104951.4,2,2,263.25,29,301.13,17,22.75,13,269.27,4,0,639331.16,994.75,357.74,5686.27,0
0,90,312740,26,20561.08,417888,125739,10.22,1,1,292607.57,4,5,302.99,35,365,3,53.32,1,115.48,0,18,669553.91,9904.35,616.67,110958.2,0
0.01,32,483885,237,21511.19,130496,262913,156.09,13,5,2871044.3,34,0,246.03,31,297.66,2,11.56,0,280.54,0,21,237966.79,15982.52,632.28,227904.07,1
0.01,3,48594,56,224087.26,448807,388771,51.97,1,5,2381792.2,1,0,22.36,26,365,61,247.23,1,365,1,7,61575.72,1466.95,52.81,135336.53,1
0.11,40,38919,177,201614.64,11489,79370,43.85,10,10,118961.2,28,3,29.32,27,365,19,163.97,19,285.08,0,0,178652.02,1896.47,415.04,167085.76,0
0.29,41,403181,26,6671.4,203822,314871,32,9,0,2309897.09,4,1,193.04,31,365,48,62.08,1,343.51,2,18,649174.49,894.56,0.28,171360.32,0
0.08,22,25366,155,601034.4,155504,247599,43.29,1,6,1811674.23,6,1,212.97,32,365,1,361.8,3,305.46,7,14,19773.93,437.61,17.22,74959.28,0
0.01,5,10695,1,389887.61,14084,314303,224.58,10,2,3363847.59,14,1,109.46,33,365,19,66.54,14,230.01,0,1,258124.99,1323.3,441.71,109865.24,1
0.02,15,560829,18,824459.72,127554,103622,2.44,4,2,677487.57,0,0,205.92,32,365,9,55.33,1,215.26,1,0,379254.24,88.54,3.05,77098,0
0.01,62,13119,86,112462.33,30176,72942,16.46,1,5,37686.24,31,0,454.34,34,365,7,146.89,25,171.09,1,18,928522.96,12502.85,250.27,120236.63,1
0.58,91,28297,5,42856.17,37079,181203,34.95,14,0,199231.77,0,2,343.91,27,339.58,25,290.73,14,123.61,1,17,475965.47,25160.36,907.74,2810.56,0
0.13,19,381943,6,59869.92,436220,170251,76.99,9,16,2546093.26,2,0,351.8,29,298.8,3,199.14,1,179.48,1,11,164801.42,139.78,188.17,58671.24,1
0,5,251377,11,405190.18,550717,4942,28.57,1,14,85786.81,3,2,361.41,23,365,2,33.23,5,311.77,1,7,214786.59,15517.12,22.79,119059.3,0
0.01,7,7413,8,181536.14,122870,273509,148.68,10,12,42586.01,5,0,211.06,23,365,33,365,8,365,0,9,274472.3,15043.02,4.06,260964.72,1
0.19,43,295105,5,53868.8,344970,354396,189.96,10,0,1168321.26,63,0,241.93,28,352.9,17,212.4,10,365,1,8,979208.19,8716.35,90.66,10921.89,1
0.02,69,367861,193,14968.65,17253,670432,36.29,11,3,1276355.83,1,1,233.51,34,365,102,116.87,5,41.8,6,12,369119.27,58.55,692.21,602.28,0
0.02,5,752156,23,812088.47,25869,189956,80.57,1,5,239371.98,36,0,54.65,26,333.26,13,164.92,2,67.03,0,0,44596.91,1433.77,194.24,10441.8,0
0.21,80,262387,165,328750.27,14898,48717,276.15,11,7,58086.94,20,1,95.06,33,365,4,254.73,8,250.81,0,1,116881.57,1247.01,165.38,226819.42,1
0,13,118871,14,20908.85,5949,29034,297.39,2,0,123501.26,35,0,272.64,42,335.65,36,45.04,36,365,0,14,459147.47,7948.95,261.53,84686.64,1
0.1,5,396447,101,390878.26,16177,640413,365,5,6,1008123.43,37,1,221.94,31,365,1,179.17,2,128.81,4,1,585825.64,1265.29,333.37,63251.39,1
0.02,23,396558,8,654750.59,329637,17065,188.36,10,0,822475.33,25,4,245.2,34,301.2,30,256.73,23,259.53,2,3,807934.3,6289.07,180.41,18064.83,1
0.32,47,307421,7,215258.34,50820,461705,234.37,6,3,1843732.78,13,1,192.1,27,365,12,236.92,1,194.68,0,16,457611.85,267.99,21.05,75063.64,0
