Unique_City_ID,City,County,State
oak_grovechristianky,Oak Grove,Christian,KY
jarvisburgcurritucknc,Jarvisburg,Currituck,NC
mcminnvilleyamhillor,McMinnville,Yamhill,OR
union_townshiperiepa,Union Township,Erie,PA
oshkoshwinnebagowi,Oshkosh,Winnebago,WI
garrettellistx,Garrett,Ellis,TX
winnebagowinnebagoil,Winnebago,Winnebago,IL
snowshoepocahontaswv,Snowshoe,Pocahontas,WV
bald_eagle_townshipclintonpa,Bald Eagle Township,Clinton,PA
mayesvillesumtersc,Mayesville,Sumter,SC
brightonfranklinny,Brighton,Franklin,NY
clay_townshipbutlerpa,Clay Township,Butler,PA
bryn_mawr_skywaykingwa,Bryn Mawr-Skyway,King,WA
nelsonbuffalowi,Nelson,Buffalo,WI
otter_lakelapeermi,Otter Lake,Lapeer,MI
south_bostonhalifaxva,South Boston,Halifax,VA
east_glenvilleschenectadyny,East Glenville,Schenectady,NY
lanarkcarrollil,Lanark,Carroll,IL
oxfordjohnsonia,Oxford,Johnson,IA
kenovawaynewv,Kenova,Wayne,WV
lewistownmifflinpa,Lewistown,Mifflin,PA
plainvillenorfolkma,Plainville,Norfolk,MA
freeportwaltonfl,Freeport,Walton,FL
albanygreenwi,Albany,Green,WI
cablechampaignoh,Cable,Champaign,OH
avila_beachsan_luis_obispoca,Avila Beach,San Luis Obispo,CA
west_whittier_los_nietoslos_angelesca,West Whittier-Los Nietos,Los Angeles,CA
polktonansonnc,Polkton,Anson,NC
brodheadsvillemonroepa,Brodheadsville,Monroe,PA
dubuquedubuqueia,Dubuque,Dubuque,IA
vernon_centerblue_earthmn,Vernon Center,Blue Earth,MN
colbyclarkwi,Colby,Clark,WI
madridhoustonal,Madrid,Houston,AL
alfredyorkme,Alfred,York,ME
wanamassamonmouthnj,Wanamassa,Monmouth,NJ
vintongalliaoh,Vinton,Gallia,OH
wadesvilleposeyin,Wadesville,Posey,IN
mercer_townshipbutlerpa,Mercer Township,Butler,PA
samsongenevaal,Samson,Geneva,AL
flintvillelincolntn,Flintville,Lincoln,TN
bee_springedmonsonky,Bee Spring,Edmonson,KY
morganorleansvt,Morgan,Orleans,VT
mccalmont_townshipjeffersonpa,Mccalmont Township,Jefferson,PA
harrison_citywestmorelandpa,Harrison City,Westmoreland,PA
north_gardenalbemarleva,North Garden,Albemarle,VA
gibsonvilleguilfordnc,Gibsonville,Guilford,NC
bronwoodterrellga,Bronwood,Terrell,GA
oppcovingtonal,Opp,Covington,AL
heritage_creekjeffersonky,Heritage Creek,Jefferson,KY
streetmanfreestonetx,Streetman,Freestone,TX
labadiefranklinmo,Labadie,Franklin,MO
morvenbrooksga,Morven,Brooks,GA
delancoburlingtonnj,Delanco,Burlington,NJ
steubenvillejeffersonoh,Steubenville,Jefferson,OH
briarclifftravistx,Briarcliff,Travis,TX
cockrell_hilldallastx,Cockrell Hill,Dallas,TX
prairie_cityjasperia,Prairie City,Jasper,IA
alto_passunionil,Alto Pass,Union,IL
huntsvillerandolphmo,Huntsville,Randolph,MO
canastotamadisonny,Canastota,Madison,NY
germanchenangony,German,Chenango,NY
marrerojeffersonla,Marrero,Jefferson,LA
kasilofkenai_peninsulaak,Kasilof,Kenai Peninsula,AK
orlandologanok,Orlando,Logan,OK
new_iberiaiberiala,New Iberia,Iberia,LA
oriskany_fallsoneidany,Oriskany Falls,Oneida,NY
walthillthurstonne,Walthill,Thurston,NE
calimesariversideca,Calimesa,Riverside,CA
demoresthabershamga,Demorest,Habersham,GA
humeedgaril,Hume,Edgar,IL
merrillsaginawmi,Merrill,Saginaw,MI
andalusiarock_islandil,Andalusia,Rock Island,IL
town_of_monroeorangeny,Town of Monroe,Orange,NY
arnoldanne_arundelmd,Arnold,Anne Arundel,MD
woodbinecape_maynj,Woodbine,Cape May,NJ
erskinepolkmn,Erskine,Polk,MN
rutlanddanewi,Rutland,Dane,WI
edgertonrockwi,Edgerton,Rock,WI
williamsportpickawayoh,Williamsport,Pickaway,OH
orondodouglaswa,Orondo,Douglas,WA
earlingshelbyia,Earling,Shelby,IA
gilt_edgetiptontn,Gilt Edge,Tipton,TN
lower_burrellwestmorelandpa,Lower Burrell,Westmoreland,PA
murfreesboropikear,Murfreesboro,Pike,AR
lawtoncomancheok,Lawton,Comanche,OK
hillsboroughsomersetnj,Hillsborough,Somerset,NJ
rochelle_parkbergennj,Rochelle Park,Bergen,NJ
leonidassaint_louismn,Leonidas,Saint Louis,MN
marine_citysaint_clairmi,Marine City,Saint Clair,MI
north_readingmiddlesexma,North Reading,Middlesex,MA
center_townshipbeaverpa,Center Township,Beaver,PA
uticasewardne,Utica,Seward,NE
dalzellsumtersc,Dalzell,Sumter,SC
windsorbertienc,Windsor,Bertie,NC
fultonvillemontgomeryny,Fultonville,Montgomery,NY
union_townshipjeffersonpa,Union Township,Jefferson,PA
bainbridgedecaturga,Bainbridge,Decatur,GA
west_greenwichkentri,West Greenwich,Kent,RI
middlesexmiddlesexnj,Middlesex,Middlesex,NJ
gotebokiowaok,Gotebo,Kiowa,OK
bow_mararapahoeco,Bow Mar,Arapahoe,CO
rocky_pointpendernc,Rocky Point,Pender,NC
boykinssouthamptonva,Boykins,Southampton,VA
saint_paulsrobesonnc,Saint Pauls,Robeson,NC
fort_stocktonpecostx,Fort Stockton,Pecos,TX
hobartlakein,Hobart,Lake,IN
inwoodnassauny,Inwood,Nassau,NY
milantelfairga,Milan,Telfair,GA
friscodarenc,Frisco,Dare,NC
bladessussexde,Blades,Sussex,DE
mariettagreenvillesc,Marietta,Greenville,SC
wattsperrypa,Watts,Perry,PA
haguewarrenny,Hague,Warren,NY
league_citygalvestontx,League City,Galveston,TX
genoacayugany,Genoa,Cayuga,NY
lawrencenassauny,Lawrence,Nassau,NY
gardinerdouglasor,Gardiner,Douglas,OR
richmond_heightsmiami_dadefl,Richmond Heights,Miami-Dade,FL
inglislevyfl,Inglis,Levy,FL
montgomerylycomingpa,Montgomery,Lycoming,PA
dorsetbenningtonvt,Dorset,Bennington,VT
town_of_manliusonondagany,Town of Manlius,Onondaga,NY
russelllyonmn,Russell,Lyon,MN
orientsuffolkny,Orient,Suffolk,NY
toughkenamonchesterpa,Toughkenamon,Chester,PA
kaaawahonoluluhi,Kaaawa,Honolulu,HI
pattoncambriapa,Patton,Cambria,PA
weatoguehartfordct,Weatogue,Hartford,CT
donovaniroquoisil,Donovan,Iroquois,IL
union_townshipfultonpa,Union Township,Fulton,PA
newfieldsrockinghamnh,Newfields,Rockingham,NH
corryeriepa,Corry,Erie,PA
kemmererlincolnwy,Kemmerer,Lincoln,WY
trumanmartinmn,Truman,Martin,MN
crothersvillejacksonin,Crothersville,Jackson,IN
brices_creekcravennc,Brices Creek,Craven,NC
liscogardenne,Lisco,Garden,NE
storymontgomeryar,Story,Montgomery,AR
hamburgsussexnj,Hamburg,Sussex,NJ
buckfieldoxfordme,Buckfield,Oxford,ME
hazel_runyellow_medicinemn,Hazel Run,Yellow Medicine,MN
plainvillehartfordct,Plainville,Hartford,CT
town_of_spencertiogany,Town of Spencer,Tioga,NY
north_brooksvillehernandofl,North Brooksville,Hernando,FL
dupontputnamoh,Dupont,Putnam,OH
leomalawrencetn,Leoma,Lawrence,TN
dunes_citylaneor,Dunes City,Lane,OR
wakarusaelkhartin,Wakarusa,Elkhart,IN
thompson_fallssandersmt,Thompson Falls,Sanders,MT
palestinesaint_francisar,Palestine,Saint Francis,AR
grantvillecowetaga,Grantville,Coweta,GA
lucasvillesciotooh,Lucasville,Scioto,OH
movillewoodburyia,Moville,Woodbury,IA
east_rockawaynassauny,East Rockaway,Nassau,NY
warr_acresoklahomaok,Warr Acres,Oklahoma,OK
quanticowicomicomd,Quantico,Wicomico,MD
martinsvillehenryva,Martinsville,Henry,VA
slaydendicksontn,Slayden,Dickson,TN
stoughtonnorfolkma,Stoughton,Norfolk,MA
owingscalvertmd,Owings,Calvert,MD
colwichsedgwickks,Colwich,Sedgwick,KS
seminolegainestx,Seminole,Gaines,TX
